Geography_Name,Geography_Level,Demographic_Level,Demographic_Name,Indicator_Label,Indicator Category Label,Influenza_Season,Month_Week,Week_Ending,Current_Season_Week_Ending_Label,Point_Estimate,CI_HalfWidth,n_unweighted,n_weighted,Suppression_Flag,Legend_Label,95 CI (%),Indicator_Category_Label_Sort,Demographic_Level_Sort_Order,Demographic_Name_Sort_Order,geography_name_order,geography_level_sort_order,Season_Sort,Legend_Sort
Idaho,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 3,2023-10-14,2023-10-14,0.1428,7.4123,414,367224,0,"2023-2024, Idaho. Overall (6 months-17 years)",6.9 - 21.7,1,1,1,25,3,1,1250101
Idaho,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 4,2023-10-21,2023-10-21,0.1738,7.3071,414,460478,0,"2023-2024, Idaho. Overall (6 months-17 years)",10.1 - 24.7,1,1,1,25,3,1,1250101
Idaho,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 5,2023-10-28,2023-10-28,0.1738,7.3071,414,515415,0,"2023-2024, Idaho. Overall (6 months-17 years)",10.1 - 24.7,1,1,1,25,3,1,1250101
Idaho,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 1,2023-11-04,2023-11-04,0.2855,9.4898,414,707935,0,"2023-2024, Idaho. Overall (6 months-17 years)",19.1 - 38.0,1,1,1,25,3,1,1250101
Idaho,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 2,2023-11-11,2023-11-11,0.2855,9.4898,414,688670,0,"2023-2024, Idaho. Overall (6 months-17 years)",19.1 - 38.0,1,1,1,25,3,1,1250101
Indiana,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 3,2023-10-14,2023-10-14,0.1651,4.2141,565,1255553,0,"2023-2024, Indiana. Overall (6 months-17 years)",12.3 - 20.7,1,1,1,27,3,1,1270101
Indiana,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 4,2023-10-21,2023-10-21,0.2001,6.2761,565,1400647,0,"2023-2024, Indiana. Overall (6 months-17 years)",13.7 - 26.3,1,1,1,27,3,1,1270101
Indiana,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 5,2023-10-28,2023-10-28,0.2001,6.2761,565,1949993,0,"2023-2024, Indiana. Overall (6 months-17 years)",13.7 - 26.3,1,1,1,27,3,1,1270101
Indiana,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 1,2023-11-04,2023-11-04,0.2871,5.324,565,2252260,0,"2023-2024, Indiana. Overall (6 months-17 years)",23.4 - 34.0,1,1,1,27,3,1,1270101
Indiana,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 2,2023-11-11,2023-11-11,0.3051,5.6257,565,2574049,0,"2023-2024, Indiana. Overall (6 months-17 years)",24.9 - 36.1,1,1,1,27,3,1,1270101
Iowa,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 2,2023-10-07,2023-10-07,0.1459,6.148,317,459164,0,"2023-2024, Iowa. Overall (6 months-17 years)",8.4 - 20.7,1,1,1,28,3,1,1280101
Iowa,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 3,2023-10-14,2023-10-14,0.1489,5.9061,317,811161,0,"2023-2024, Iowa. Overall (6 months-17 years)",9.0 - 20.8,1,1,1,28,3,1,1280101
Kansas,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 1,2023-11-04,2023-11-04,0.3189,8.0072,793,363960,0,"2023-2024, Kansas. Overall (6 months-17 years)",23.9 - 39.9,1,1,1,29,3,1,1290101
Kansas,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 2,2023-11-11,2023-11-11,0.3207,8.0018,793,467626,0,"2023-2024, Kansas. Overall (6 months-17 years)",24.1 - 40.1,1,1,1,29,3,1,1290101
Kentucky,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 2,2023-10-07,2023-10-07,0.147,4.199,508,936422,0,"2023-2024, Kentucky. Overall (6 months-17 years)",10.5 - 18.9,1,1,1,30,3,1,1300101
Kentucky,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 3,2023-10-14,2023-10-14,0.1498,4.1855,508,1396523,0,"2023-2024, Kentucky. Overall (6 months-17 years)",10.8 - 19.2,1,1,1,30,3,1,1300101
Kentucky,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 4,2023-10-21,2023-10-21,0.1634,4.6041,508,1331952,0,"2023-2024, Kentucky. Overall (6 months-17 years)",11.7 - 20.9,1,1,1,30,3,1,1300101
Kentucky,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 5,2023-10-28,2023-10-28,0.2223,11.9775,508,1028019,0,"2023-2024, Kentucky. Overall (6 months-17 years)",10.3 - 34.2,1,1,1,30,3,1,1300101
Kentucky,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 1,2023-11-04,2023-11-04,0.2853,6.5914,508,1688518,0,"2023-2024, Kentucky. Overall (6 months-17 years)",21.9 - 35.1,1,1,1,30,3,1,1300101
Maine,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 2,2023-10-07,2023-10-07,0.212,5.3632,698,184451,0,"2023-2024, Maine. Overall (6 months-17 years)",15.8 - 26.6,1,1,1,32,3,1,1320101
Maine,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 3,2023-10-14,2023-10-14,0.2194,5.2285,698,205214,0,"2023-2024, Maine. Overall (6 months-17 years)",16.7 - 27.2,1,1,1,32,3,1,1320101
Maine,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 4,2023-10-21,2023-10-21,0.2755,8.1696,698,273211,0,"2023-2024, Maine. Overall (6 months-17 years)",19.4 - 35.7,1,1,1,32,3,1,1320101
Maine,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 5,2023-10-28,2023-10-28,0.2825,8.2851,698,416030,0,"2023-2024, Maine. Overall (6 months-17 years)",20.0 - 36.5,1,1,1,32,3,1,1320101
Maine,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 1,2023-11-04,2023-11-04,0.3817,6.5564,698,517238,0,"2023-2024, Maine. Overall (6 months-17 years)",31.6 - 44.7,1,1,1,32,3,1,1320101
Maine,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 2,2023-11-11,2023-11-11,0.3928,6.5955,698,466077,0,"2023-2024, Maine. Overall (6 months-17 years)",32.7 - 45.9,1,1,1,32,3,1,1320101
Maryland,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 2,2023-10-07,2023-10-07,0.2659,5.9411,1042,917979,0,"2023-2024, Maryland. Overall (6 months-17 years)",20.7 - 32.5,1,1,1,33,3,1,1330101
Massachusetts,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 4,2023-10-21,2023-10-21,0.2986,5.0477,812,1182874,0,"2023-2024, Massachusetts. Overall (6 months-17 years)",24.8 - 34.9,1,1,1,34,3,1,1340101
Massachusetts,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 5,2023-10-28,2023-10-28,0.3128,5.3971,812,1709018,0,"2023-2024, Massachusetts. Overall (6 months-17 years)",25.9 - 36.7,1,1,1,34,3,1,1340101
Massachusetts,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 1,2023-11-04,2023-11-04,0.4447,5.282,812,1446243,0,"2023-2024, Massachusetts. Overall (6 months-17 years)",39.2 - 49.8,1,1,1,34,3,1,1340101
Massachusetts,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 2,2023-11-11,2023-11-11,0.4809,5.7971,812,1567923,0,"2023-2024, Massachusetts. Overall (6 months-17 years)",42.3 - 53.9,1,1,1,34,3,1,1340101
Michigan,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 2,2023-10-07,2023-10-07,0.1533,4.5869,499,490104,0,"2023-2024, Michigan. Overall (6 months-17 years)",10.7 - 19.9,1,1,1,35,3,1,1350101
Michigan,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 3,2023-10-14,2023-10-14,0.1745,5.0669,499,1078761,0,"2023-2024, Michigan. Overall (6 months-17 years)",12.4 - 22.5,1,1,1,35,3,1,1350101
Michigan,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 4,2023-10-21,2023-10-21,0.2074,6.1171,499,1747354,0,"2023-2024, Michigan. Overall (6 months-17 years)",14.6 - 26.9,1,1,1,35,3,1,1350101
Michigan,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 5,2023-10-28,2023-10-28,0.2074,6.1171,499,1000395,0,"2023-2024, Michigan. Overall (6 months-17 years)",14.6 - 26.9,1,1,1,35,3,1,1350101
Minnesota,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 2,2023-11-11,2023-11-11,0.371,7.5946,530,1509235,0,"2023-2024, Minnesota. Overall (6 months-17 years)",29.5 - 44.7,1,1,1,36,3,1,1360101
Mississippi,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 2,2023-10-07,2023-10-07,0.1243,5.0882,420,460224,0,"2023-2024, Mississippi. Overall (6 months-17 years)",7.3 - 17.5,1,1,1,37,3,1,1370101
Mississippi,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 3,2023-10-14,2023-10-14,0.1327,5.2009,420,829877,0,"2023-2024, Mississippi. Overall (6 months-17 years)",8.1 - 18.5,1,1,1,37,3,1,1370101
Mississippi,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 4,2023-10-21,2023-10-21,0.1495,5.5106,420,427882,0,"2023-2024, Mississippi. Overall (6 months-17 years)",9.4 - 20.5,1,1,1,37,3,1,1370101
Mississippi,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 5,2023-10-28,2023-10-28,0.1514,5.7756,420,654480,0,"2023-2024, Mississippi. Overall (6 months-17 years)",9.4 - 20.9,1,1,1,37,3,1,1370101
Mississippi,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 1,2023-11-04,2023-11-04,0.1514,5.7756,420,584123,0,"2023-2024, Mississippi. Overall (6 months-17 years)",9.4 - 20.9,1,1,1,37,3,1,1370101
Mississippi,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 2,2023-11-11,2023-11-11,0.1767,6.5251,420,704604,0,"2023-2024, Mississippi. Overall (6 months-17 years)",11.1 - 24.2,1,1,1,37,3,1,1370101
Montana,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 3,2023-10-14,2023-10-14,0.1621,4.0994,593,220555,0,"2023-2024, Montana. Overall (6 months-17 years)",12.1 - 20.3,1,1,1,39,3,1,1390101
Montana,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 4,2023-10-21,2023-10-21,0.1621,4.0994,593,339039,0,"2023-2024, Montana. Overall (6 months-17 years)",12.1 - 20.3,1,1,1,39,3,1,1390101
Montana,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 5,2023-10-28,2023-10-28,0.1621,4.0994,593,307721,0,"2023-2024, Montana. Overall (6 months-17 years)",12.1 - 20.3,1,1,1,39,3,1,1390101
Montana,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 1,2023-11-04,2023-11-04,0.2661,5.5995,593,403079,0,"2023-2024, Montana. Overall (6 months-17 years)",21.0 - 32.2,1,1,1,39,3,1,1390101
Montana,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 2,2023-11-11,2023-11-11,0.2661,5.5995,593,330588,0,"2023-2024, Montana. Overall (6 months-17 years)",21.0 - 32.2,1,1,1,39,3,1,1390101
Nebraska,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 2,2023-10-07,2023-10-07,0.1058,4.0687,421,520820,0,"2023-2024, Nebraska. Overall (6 months-17 years)",6.5 - 14.7,1,1,1,40,3,1,1400101
Nebraska,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 3,2023-10-14,2023-10-14,0.1731,8.1026,421,488440,0,"2023-2024, Nebraska. Overall (6 months-17 years)",9.2 - 25.4,1,1,1,40,3,1,1400101
Nevada,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 5,2023-10-28,2023-10-28,0.2314,6.2767,575,349937,0,"2023-2024, Nevada. Overall (6 months-17 years)",16.9 - 29.4,1,1,1,41,3,1,1410101
Nevada,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 1,2023-11-04,2023-11-04,0.3449,8.3237,575,465056,0,"2023-2024, Nevada. Overall (6 months-17 years)",26.2 - 42.8,1,1,1,41,3,1,1410101
Nevada,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 2,2023-11-11,2023-11-11,0.3507,8.3642,575,359312,0,"2023-2024, Nevada. Overall (6 months-17 years)",26.7 - 43.4,1,1,1,41,3,1,1410101
New Hampshire,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 2,2023-10-07,2023-10-07,0.1893,4.7611,719,249489,0,"2023-2024, New Hampshire. Overall (6 months-17 years)",14.2 - 23.7,1,1,1,42,3,1,1420101
New Hampshire,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 3,2023-10-14,2023-10-14,0.2051,4.9281,719,379114,0,"2023-2024, New Hampshire. Overall (6 months-17 years)",15.6 - 25.4,1,1,1,42,3,1,1420101
New Hampshire,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 4,2023-10-21,2023-10-21,0.2619,8.0842,719,290983,0,"2023-2024, New Hampshire. Overall (6 months-17 years)",18.1 - 34.3,1,1,1,42,3,1,1420101
New Hampshire,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 5,2023-10-28,2023-10-28,0.2692,8.2132,719,204897,0,"2023-2024, New Hampshire. Overall (6 months-17 years)",18.7 - 35.1,1,1,1,42,3,1,1420101
New Hampshire,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 1,2023-11-04,2023-11-04,0.3457,5.8858,719,389069,0,"2023-2024, New Hampshire. Overall (6 months-17 years)",28.7 - 40.5,1,1,1,42,3,1,1420101
New Mexico,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 2,2023-10-07,2023-10-07,0.1549,3.653,940,1281444,0,"2023-2024, New Mexico. Overall (6 months-17 years)",11.8 - 19.1,1,1,1,44,3,1,1440101
New Mexico,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 3,2023-10-14,2023-10-14,0.1918,4.4753,940,1114348,0,"2023-2024, New Mexico. Overall (6 months-17 years)",14.7 - 23.7,1,1,1,44,3,1,1440101
New Mexico,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 4,2023-10-21,2023-10-21,0.2118,4.4346,940,1107602,0,"2023-2024, New Mexico. Overall (6 months-17 years)",16.7 - 25.6,1,1,1,44,3,1,1440101
New Mexico,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 5,2023-10-28,2023-10-28,0.2448,6.7715,940,827072,0,"2023-2024, New Mexico. Overall (6 months-17 years)",17.7 - 31.2,1,1,1,44,3,1,1440101
New Mexico,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 1,2023-11-04,2023-11-04,0.2956,6.0132,940,486354,0,"2023-2024, New Mexico. Overall (6 months-17 years)",23.5 - 35.6,1,1,1,44,3,1,1440101
New Mexico,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 2,2023-11-11,2023-11-11,0.3035,5.9828,940,554139,0,"2023-2024, New Mexico. Overall (6 months-17 years)",24.4 - 36.3,1,1,1,44,3,1,1440101
New York,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 2,2023-10-07,2023-10-07,0.211,3.1852,1535,3300971,0,"2023-2024, New York. Overall (6 months-17 years)",17.9 - 24.3,1,1,1,45,3,1,1450101
North Carolina,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 4,2023-10-21,2023-10-21,0.2135,3.9202,1078,3003458,0,"2023-2024, North Carolina. Overall (6 months-17 years)",17.4 - 25.3,1,1,1,46,3,1,1460101
North Carolina,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 5,2023-10-28,2023-10-28,0.2135,3.9202,1078,2118678,0,"2023-2024, North Carolina. Overall (6 months-17 years)",17.4 - 25.3,1,1,1,46,3,1,1460101
North Carolina,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 1,2023-11-04,2023-11-04,0.2135,3.9202,1078,2151481,0,"2023-2024, North Carolina. Overall (6 months-17 years)",17.4 - 25.3,1,1,1,46,3,1,1460101
North Carolina,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 2,2023-11-11,2023-11-11,0.2525,5.2731,1078,1568864,0,"2023-2024, North Carolina. Overall (6 months-17 years)",20.0 - 30.5,1,1,1,46,3,1,1460101
North Dakota,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 2,2023-10-07,2023-10-07,,,454,99223,1,"2023-2024, North Dakota. Overall (6 months-17 years)", - ,1,1,1,47,3,1,1470101
North Dakota,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 3,2023-10-14,2023-10-14,0.2045,7.2235,454,142939,0,"2023-2024, North Dakota. Overall (6 months-17 years)",13.2 - 27.7,1,1,1,47,3,1,1470101
North Dakota,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 4,2023-10-21,2023-10-21,0.2608,7.0661,454,130848,0,"2023-2024, North Dakota. Overall (6 months-17 years)",19.0 - 33.1,1,1,1,47,3,1,1470101
Ohio,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 1,2023-11-04,2023-11-04,0.3242,7.805,479,1706796,0,"2023-2024, Ohio. Overall (6 months-17 years)",24.6 - 40.2,1,1,1,48,3,1,1480101
Ohio,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 2,2023-11-11,2023-11-11,0.3302,7.8424,479,1369286,0,"2023-2024, Ohio. Overall (6 months-17 years)",25.2 - 40.9,1,1,1,48,3,1,1480101
Oklahoma,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 2,2023-10-07,2023-10-07,0.123,3.0429,693,2089330,0,"2023-2024, Oklahoma. Overall (6 months-17 years)",9.3 - 15.3,1,1,1,49,3,1,1490101
Oklahoma,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 3,2023-10-14,2023-10-14,0.1379,3.337,693,1959481,0,"2023-2024, Oklahoma. Overall (6 months-17 years)",10.5 - 17.1,1,1,1,49,3,1,1490101
Oklahoma,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 4,2023-10-21,2023-10-21,0.1686,4.3587,693,1407612,0,"2023-2024, Oklahoma. Overall (6 months-17 years)",12.5 - 21.2,1,1,1,49,3,1,1490101
Oklahoma,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 5,2023-10-28,2023-10-28,0.1964,5.4175,693,2029024,0,"2023-2024, Oklahoma. Overall (6 months-17 years)",14.2 - 25.1,1,1,1,49,3,1,1490101
Oklahoma,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 1,2023-11-04,2023-11-04,0.275,6.5948,693,845777,0,"2023-2024, Oklahoma. Overall (6 months-17 years)",20.9 - 34.1,1,1,1,49,3,1,1490101
Pennsylvania,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 3,2023-10-14,2023-10-14,0.2218,3.5919,1462,1976135,0,"2023-2024, Pennsylvania. Overall (6 months-17 years)",18.6 - 25.8,1,1,1,51,3,1,1510101
Pennsylvania,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 4,2023-10-21,2023-10-21,0.3278,6.7906,1462,1677530,0,"2023-2024, Pennsylvania. Overall (6 months-17 years)",26.0 - 39.6,1,1,1,51,3,1,1510101
Pennsylvania,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 5,2023-10-28,2023-10-28,0.3627,8.1741,1462,2146146,0,"2023-2024, Pennsylvania. Overall (6 months-17 years)",28.1 - 44.4,1,1,1,51,3,1,1510101
Pennsylvania,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 1,2023-11-04,2023-11-04,0.3904,4.7097,1462,2950015,0,"2023-2024, Pennsylvania. Overall (6 months-17 years)",34.3 - 43.7,1,1,1,51,3,1,1510101
Pennsylvania,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 2,2023-11-11,2023-11-11,0.406,4.9316,1462,2203634,0,"2023-2024, Pennsylvania. Overall (6 months-17 years)",35.7 - 45.5,1,1,1,51,3,1,1510101
Puerto Rico,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 2,2023-10-07,2023-10-07,0.1542,3.3064,930,508671,0,"2023-2024, Puerto Rico. Overall (6 months-17 years)",12.1 - 18.7,1,1,1,52,3,1,1520101
Puerto Rico,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 3,2023-10-14,2023-10-14,0.1542,3.3064,930,508671,0,"2023-2024, Puerto Rico. Overall (6 months-17 years)",12.1 - 18.7,1,1,1,52,3,1,1520101
Rhode Island,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 5,2023-10-28,2023-10-28,,,355,79877,1,"2023-2024, Rhode Island. Overall (6 months-17 years)", - ,1,1,1,53,3,1,1530101
Rhode Island,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 1,2023-11-04,2023-11-04,0.3423,11.8723,355,55149,0,"2023-2024, Rhode Island. Overall (6 months-17 years)",22.4 - 46.1,1,1,1,53,3,1,1530101
Rhode Island,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 2,2023-11-11,2023-11-11,0.3568,11.8883,355,106617,0,"2023-2024, Rhode Island. Overall (6 months-17 years)",23.8 - 47.6,1,1,1,53,3,1,1530101
South Carolina,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 2,2023-10-07,2023-10-07,0.1514,3.7953,801,1877882,0,"2023-2024, South Carolina. Overall (6 months-17 years)",11.3 - 18.9,1,1,1,54,3,1,1540101
South Carolina,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 3,2023-10-14,2023-10-14,0.1945,5.6761,801,1430012,0,"2023-2024, South Carolina. Overall (6 months-17 years)",13.8 - 25.1,1,1,1,54,3,1,1540101
South Carolina,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 4,2023-10-21,2023-10-21,0.2556,7.6266,801,1603499,0,"2023-2024, South Carolina. Overall (6 months-17 years)",17.9 - 33.2,1,1,1,54,3,1,1540101
South Carolina,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 5,2023-10-28,2023-10-28,0.2596,7.6659,801,2113083,0,"2023-2024, South Carolina. Overall (6 months-17 years)",18.3 - 33.6,1,1,1,54,3,1,1540101
South Dakota,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 2,2023-11-11,2023-11-11,0.2773,7.4599,581,171239,0,"2023-2024, South Dakota. Overall (6 months-17 years)",20.3 - 35.2,1,1,1,55,3,1,1550101
Tennessee,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 2,2023-10-07,2023-10-07,0.1407,5.6699,309,508313,0,"2023-2024, Tennessee. Overall (6 months-17 years)",8.4 - 19.7,1,1,1,56,3,1,1560101
Tennessee,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 3,2023-10-14,2023-10-14,0.2231,9.2017,309,1542131,0,"2023-2024, Tennessee. Overall (6 months-17 years)",13.1 - 31.5,1,1,1,56,3,1,1560101
Tennessee,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 4,2023-10-21,2023-10-21,0.2358,8.5124,309,1596387,0,"2023-2024, Tennessee. Overall (6 months-17 years)",15.1 - 32.1,1,1,1,56,3,1,1560101
Tennessee,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 5,2023-10-28,2023-10-28,0.243,8.6277,309,1362851,0,"2023-2024, Tennessee. Overall (6 months-17 years)",15.7 - 32.9,1,1,1,56,3,1,1560101
Tennessee,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 1,2023-11-04,2023-11-04,,,309,571929,1,"2023-2024, Tennessee. Overall (6 months-17 years)", - ,1,1,1,56,3,1,1560101
Tennessee,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 2,2023-11-11,2023-11-11,,,309,453549,1,"2023-2024, Tennessee. Overall (6 months-17 years)", - ,1,1,1,56,3,1,1560101
Texas,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 2,2023-10-07,2023-10-07,0.1832,2.362,1967,4106547,0,"2023-2024, Texas. Overall (6 months-17 years)",16.0 - 20.7,1,1,1,57,3,1,1570101
Texas,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 3,2023-10-14,2023-10-14,0.1928,2.4772,1967,3887336,0,"2023-2024, Texas. Overall (6 months-17 years)",16.8 - 21.8,1,1,1,57,3,1,1570101
Texas,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 4,2023-10-21,2023-10-21,0.2393,3.3117,1967,5385293,0,"2023-2024, Texas. Overall (6 months-17 years)",20.6 - 27.2,1,1,1,57,3,1,1570101
Texas,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 5,2023-10-28,2023-10-28,0.2563,3.713,1967,6031197,0,"2023-2024, Texas. Overall (6 months-17 years)",21.9 - 29.3,1,1,1,57,3,1,1570101
Texas,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 1,2023-11-04,2023-11-04,0.3467,3.9216,1967,7498925,0,"2023-2024, Texas. Overall (6 months-17 years)",30.7 - 38.6,1,1,1,57,3,1,1570101
Texas,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 2,2023-11-11,2023-11-11,0.3617,4.033,1967,6679988,0,"2023-2024, Texas. Overall (6 months-17 years)",32.1 - 40.2,1,1,1,57,3,1,1570101
Utah,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 2,2023-10-07,2023-10-07,,,292,126836,1,"2023-2024, Utah. Overall (6 months-17 years)", - ,1,1,1,59,3,1,1590101
Utah,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 3,2023-10-14,2023-10-14,0.166,6.5282,292,995145,0,"2023-2024, Utah. Overall (6 months-17 years)",10.1 - 23.1,1,1,1,59,3,1,1590101
